date,store,product,category,quantity_sold,price_per_unit,discount_applied,total_sales,returned
2023-10-04,San Diego,Dried Fish,Dry Goods,4,3.18,0.0,12.72,0
2023-03-20,Las Vegas,Tocino,Frozen Goods,2,14.58,1.46,29.16,0
2023-06-13,Las Vegas,Soy Sauce,Condiments,1,5.26,0.0,5.26,0
2023-04-29,Cerritos,Rice,Dry Goods,2,5.09,0.0,10.18,0
2023-03-09,Las Vegas,Instant Noodles,Dry Goods,3,1.65,0.0,4.95,0
2023-07-20,Cerritos,Dried Fish,Dry Goods,3,5.26,0.0,15.78,0
2023-07-11,San Diego,Chippy,Snacks,2,1.48,0.15,2.96,0
2023-03-18,Cerritos,Tocino,Frozen Goods,4,14.57,0.73,58.28,0
2023-07-28,Cerritos,Longganisa,Frozen Goods,3,3.74,0.0,11.22,0
2023-01-15,Las Vegas,Frozen Lumpia,Frozen Goods,3,4.93,0.0,14.79,0
2023-09-11,Las Vegas,Boy Bawang,Snacks,3,3.78,0.0,11.34,0
2023-05-01,San Diego,Banana Ketchup,Condiments,3,6.02,0.0,18.06,0
2023-11-13,Cerritos,Bagoong,Condiments,2,5.35,0.0,10.7,0
2023-02-06,Las Vegas,Pandesal,Dry Goods,3,10.99,0.55,32.97,0
2023-01-11,San Diego,Banana Ketchup,Condiments,4,2.51,0.0,10.04,0
2023-11-10,San Diego,Soy Sauce,Condiments,3,6.75,0.34,20.25,0
2023-08-17,Las Vegas,Longganisa,Frozen Goods,1,3.26,0.33,3.26,0
2023-02-21,Las Vegas,Boy Bawang,Snacks,5,12.3,1.23,61.5,0
2023-12-23,San Diego,Banana Ketchup,Condiments,1,6.98,0.7,6.98,0
2023-05-14,San Diego,Vinegar,Condiments,0,8.15,0.0,0.0,0
2023-06-15,San Diego,Dried Fish,Dry Goods,1,14.2,0.0,14.2,0
2023-09-05,San Diego,Boy Bawang,Snacks,5,5.21,0.0,26.05,0
2023-12-13,Las Vegas,SkyFlakes,Snacks,2,4.9,0.49,9.8,0
2023-09-03,Las Vegas,Tocino,Frozen Goods,3,10.41,0.52,31.23,0
2023-01-14,San Diego,Tocino,Frozen Goods,5,12.69,0.0,63.45,0
2023-07-31,Las Vegas,Bagoong,Condiments,0,9.27,0.0,0.0,0
2023-09-11,Cerritos,Dried Fish,Dry Goods,3,10.67,0.0,32.01,0
2023-06-08,Cerritos,Boy Bawang,Snacks,1,2.59,0.26,2.59,0
2023-10-26,Cerritos,Vinegar,Condiments,4,4.39,0.0,17.56,0
2023-08-22,Las Vegas,Soy Sauce,Condiments,4,13.56,1.36,54.24,0
2023-01-05,Las Vegas,Frozen Lumpia,Frozen Goods,2,13.58,0.0,27.16,0
2023-08-14,San Diego,Boy Bawang,Snacks,2,3.25,0.0,6.5,0
2023-01-03,San Diego,Tocino,Frozen Goods,3,5.56,0.28,16.68,0
2023-05-02,San Diego,Bagoong,Condiments,3,6.15,0.0,18.45,0
2023-04-08,Las Vegas,Pandesal,Dry Goods,6,7.9,0.0,47.4,0
2023-06-27,San Diego,Pandesal,Dry Goods,1,10.04,0.0,10.04,0
2023-08-12,San Diego,Dried Fish,Dry Goods,3,14.0,0.0,42.0,0
2023-05-18,Las Vegas,Ube Ice Cream,Frozen Goods,5,3.37,0.0,16.85,0
2023-09-25,Las Vegas,Instant Noodles,Dry Goods,2,9.61,1.44,19.22,0
2023-06-11,Las Vegas,Dried Fish,Dry Goods,6,12.33,1.23,73.98,0
2023-07-08,San Diego,Soy Sauce,Condiments,8,6.26,0.0,50.08,0
2023-07-11,Las Vegas,Longganisa,Frozen Goods,0,7.52,0.0,0.0,0
2023-11-25,San Diego,Tocino,Frozen Goods,1,1.52,0.15,1.52,0
2023-09-23,San Diego,Frozen Lumpia,Frozen Goods,3,9.72,0.0,29.16,0
2023-09-15,Las Vegas,Vinegar,Condiments,6,12.13,0.0,72.78,0
2023-07-15,Cerritos,Bagoong,Condiments,1,14.48,1.45,14.48,0
2023-05-16,Las Vegas,Tocino,Frozen Goods,2,4.5,0.0,9.0,0
2023-12-06,Las Vegas,SkyFlakes,Snacks,5,6.87,0.0,34.35,0
2023-12-05,Cerritos,Dried Fish,Dry Goods,1,2.63,0.0,2.63,0
2023-03-09,Las Vegas,Frozen Lumpia,Frozen Goods,3,7.88,0.0,23.64,0
2023-04-14,Cerritos,Ube Ice Cream,Frozen Goods,4,6.24,0.0,24.96,0
2023-04-27,San Diego,Instant Noodles,Dry Goods,3,9.99,0.0,29.97,0
2023-03-27,Las Vegas,Ube Ice Cream,Frozen Goods,5,14.18,0.0,70.9,0
2023-01-25,Las Vegas,Bagoong,Condiments,2,2.41,0.0,4.82,0
2023-03-07,Cerritos,SkyFlakes,Snacks,1,5.47,0.55,5.47,0
2023-07-02,San Diego,Dried Fish,Dry Goods,2,10.75,0.0,21.5,0
2023-03-24,Cerritos,Pandesal,Dry Goods,3,11.51,1.15,34.53,1
2023-06-27,Cerritos,Longganisa,Frozen Goods,3,14.03,1.4,42.09,0
2023-04-17,Las Vegas,Dried Fish,Dry Goods,4,12.57,0.0,50.28,0
2023-05-02,San Diego,Rice,Dry Goods,1,13.68,0.0,13.68,0
2023-11-15,Cerritos,Longganisa,Frozen Goods,5,5.6,0.0,28.0,0
2023-01-23,Las Vegas,Polvoron,Snacks,3,1.81,0.0,5.43,0
2023-08-01,San Diego,Frozen Lumpia,Frozen Goods,2,3.0,0.15,6.0,0
2023-03-28,Cerritos,Pandesal,Dry Goods,1,10.81,0.0,10.81,0
2023-12-19,Las Vegas,Chippy,Snacks,2,14.81,0.0,29.62,0
2023-04-24,Las Vegas,Boy Bawang,Snacks,5,11.88,0.0,59.4,0
2023-12-29,San Diego,Tocino,Frozen Goods,2,1.16,0.0,2.32,0
2023-06-05,Cerritos,Instant Noodles,Dry Goods,1,10.09,0.5,10.09,0
2023-08-08,Cerritos,Polvoron,Snacks,4,14.49,0.0,57.96,0
2023-08-04,Cerritos,Tocino,Frozen Goods,0,13.48,0.0,0.0,1
2023-05-14,San Diego,Banana Ketchup,Condiments,1,14.57,0.0,14.57,0
2023-09-12,Las Vegas,Ube Ice Cream,Frozen Goods,5,4.93,0.74,24.65,0
2023-02-12,Las Vegas,Instant Noodles,Dry Goods,3,7.49,0.0,22.47,0
2023-08-21,Las Vegas,Pandesal,Dry Goods,4,5.33,0.53,21.32,0
2023-02-06,San Diego,Bagoong,Condiments,6,14.06,1.41,84.36,0
2023-03-29,Cerritos,Polvoron,Snacks,0,6.27,0.63,0.0,1
2023-05-11,San Diego,Chippy,Snacks,2,14.58,1.46,29.16,0
2023-05-11,Las Vegas,Bagoong,Condiments,3,13.11,1.31,39.33,1
2023-04-22,Cerritos,SkyFlakes,Snacks,6,2.81,0.42,16.86,0
2023-05-02,San Diego,Banana Ketchup,Condiments,3,2.59,0.0,7.77,0
2023-07-06,Las Vegas,Boy Bawang,Snacks,6,2.88,0.0,17.28,0
2023-02-07,San Diego,Banana Ketchup,Condiments,3,1.2,0.0,3.6,0
2023-03-19,Cerritos,Banana Ketchup,Condiments,4,11.97,0.0,47.88,0
2023-10-24,San Diego,Instant Noodles,Dry Goods,5,7.43,1.11,37.15,0
2023-11-06,San Diego,Chippy,Snacks,3,2.8,0.0,8.4,0
2023-06-10,Cerritos,Ube Ice Cream,Frozen Goods,2,5.84,0.58,11.68,0
2023-05-24,Las Vegas,Rice,Dry Goods,2,1.57,0.0,3.14,0
2023-08-13,San Diego,Chippy,Snacks,1,2.69,0.0,2.69,0
2023-08-27,Cerritos,Rice,Dry Goods,3,12.19,0.0,36.57,0
2023-06-09,Las Vegas,Vinegar,Condiments,2,4.88,0.49,9.76,0
2023-04-30,San Diego,Tocino,Frozen Goods,1,6.19,0.0,6.19,0
2023-03-08,San Diego,Instant Noodles,Dry Goods,3,4.53,0.23,13.59,0
2023-11-19,San Diego,Boy Bawang,Snacks,2,7.26,0.0,14.52,0
2023-10-05,San Diego,Soy Sauce,Condiments,2,5.51,0.0,11.02,0
2023-03-24,Cerritos,Chippy,Snacks,3,12.05,0.0,36.15,0
2023-02-21,San Diego,Ube Ice Cream,Frozen Goods,4,4.97,0.0,19.88,0
2023-09-01,Las Vegas,Soy Sauce,Condiments,4,2.42,0.0,9.68,0
2023-06-12,San Diego,Rice,Dry Goods,1,4.99,0.0,4.99,0
2023-04-01,San Diego,Soy Sauce,Condiments,1,6.75,1.01,6.75,0
2023-08-27,Las Vegas,Instant Noodles,Dry Goods,5,10.36,1.04,51.8,0
2023-04-21,Cerritos,Polvoron,Snacks,3,5.53,0.0,16.59,0
2023-07-27,Las Vegas,Rice,Dry Goods,1,9.55,0.0,9.55,0
2023-08-10,Las Vegas,Longganisa,Frozen Goods,2,1.73,0.0,3.46,0
2023-02-02,Cerritos,Rice,Dry Goods,2,12.34,0.0,24.68,0
2023-10-26,Las Vegas,Pandesal,Dry Goods,4,14.01,1.4,56.04,0
2023-08-30,San Diego,Tocino,Frozen Goods,3,1.93,0.1,5.79,0
2023-01-05,Las Vegas,SkyFlakes,Snacks,3,3.29,0.0,9.87,0
2023-10-07,San Diego,Chippy,Snacks,4,12.43,0.0,49.72,0
2023-09-08,Las Vegas,Boy Bawang,Snacks,4,13.59,0.0,54.36,0
2023-07-14,San Diego,Polvoron,Snacks,4,5.69,0.0,22.76,0
2023-04-28,San Diego,Soy Sauce,Condiments,4,5.36,0.0,21.44,0
2023-07-22,Cerritos,Chippy,Snacks,0,8.98,0.45,0.0,0
2023-02-03,Las Vegas,Longganisa,Frozen Goods,2,12.85,0.0,25.7,0
2023-04-03,Cerritos,Ube Ice Cream,Frozen Goods,2,11.11,0.56,22.22,0
2023-05-03,San Diego,Boy Bawang,Snacks,3,3.54,0.35,10.62,0
2023-06-21,San Diego,Banana Ketchup,Condiments,3,9.21,0.0,27.63,0
2023-10-20,San Diego,Polvoron,Snacks,0,13.21,1.32,0.0,0
2023-09-19,San Diego,Banana Ketchup,Condiments,4,9.49,0.0,37.96,0
2023-02-10,Las Vegas,SkyFlakes,Snacks,3,14.79,1.48,44.37,0
2023-12-03,Cerritos,Soy Sauce,Condiments,5,5.69,0.57,28.45,0
2023-06-16,Cerritos,Soy Sauce,Condiments,4,5.86,0.29,23.44,0
2023-12-30,Las Vegas,Frozen Lumpia,Frozen Goods,2,3.47,0.0,6.94,0
2023-05-15,San Diego,Soy Sauce,Condiments,4,10.29,0.0,41.16,0
2023-01-18,Las Vegas,Tocino,Frozen Goods,2,14.96,0.0,29.92,0
2023-07-30,San Diego,Ube Ice Cream,Frozen Goods,2,13.57,0.0,27.14,0
2023-01-01,Cerritos,Frozen Lumpia,Frozen Goods,0,7.61,0.0,0.0,0
2023-07-20,Las Vegas,Dried Fish,Dry Goods,4,8.83,0.0,35.32,0
2023-09-12,San Diego,Banana Ketchup,Condiments,5,1.36,0.0,6.8,0
2023-02-17,Cerritos,Instant Noodles,Dry Goods,1,4.11,0.0,4.11,0
2023-10-09,Las Vegas,Frozen Lumpia,Frozen Goods,0,2.46,0.12,0.0,0
2023-06-15,San Diego,Boy Bawang,Snacks,2,4.4,0.22,8.8,0
2023-11-05,Cerritos,Bagoong,Condiments,3,5.1,0.51,15.3,0
2023-11-25,Cerritos,Vinegar,Condiments,1,1.37,0.0,1.37,0
2023-08-16,Las Vegas,Longganisa,Frozen Goods,4,6.32,0.0,25.28,0
2023-01-03,Cerritos,Frozen Lumpia,Frozen Goods,4,14.28,0.71,57.12,0
2023-01-27,San Diego,Vinegar,Condiments,5,4.76,0.0,23.8,0
2023-02-22,Las Vegas,Polvoron,Snacks,1,12.69,1.9,12.69,0
2023-09-12,Las Vegas,Soy Sauce,Condiments,1,1.26,0.13,1.26,0
2023-01-16,Cerritos,Banana Ketchup,Condiments,4,3.89,0.0,15.56,0
2023-08-03,Cerritos,Vinegar,Condiments,5,13.8,0.0,69.0,0
2023-07-27,San Diego,Rice,Dry Goods,1,3.33,0.17,3.33,0
2023-10-02,Cerritos,Polvoron,Snacks,3,5.98,0.3,17.94,0
2023-07-17,Las Vegas,Soy Sauce,Condiments,5,1.44,0.0,7.2,0
2023-09-29,Las Vegas,Chippy,Snacks,1,9.36,0.0,9.36,0
2023-08-27,Cerritos,Vinegar,Condiments,1,11.19,0.0,11.19,0
2023-01-03,Cerritos,Tocino,Frozen Goods,4,4.81,0.0,19.24,0
2023-08-08,Cerritos,Pandesal,Dry Goods,2,14.3,0.0,28.6,0
2023-01-01,San Diego,Boy Bawang,Snacks,7,7.85,0.0,54.95,1
2023-06-15,Cerritos,Vinegar,Condiments,1,10.88,1.09,10.88,0
2023-08-30,Cerritos,Bagoong,Condiments,2,10.76,0.0,21.52,0
2023-08-26,Las Vegas,Boy Bawang,Snacks,7,9.35,0.0,65.45,0
2023-02-11,San Diego,Bagoong,Condiments,2,11.15,0.0,22.3,0
2023-05-10,San Diego,Chippy,Snacks,5,4.26,0.0,21.3,0
2023-12-28,Las Vegas,Dried Fish,Dry Goods,0,13.25,0.0,0.0,0
2023-09-24,Las Vegas,Dried Fish,Dry Goods,5,9.79,0.98,48.95,1
2023-09-15,Cerritos,SkyFlakes,Snacks,4,2.55,0.0,10.2,0
2023-06-05,Las Vegas,Dried Fish,Dry Goods,2,1.25,0.19,2.5,0
2023-07-29,Cerritos,Chippy,Snacks,4,2.25,0.0,9.0,0
2023-02-28,Las Vegas,Polvoron,Snacks,3,14.88,0.0,44.64,0
2023-08-15,San Diego,Longganisa,Frozen Goods,3,3.47,0.0,10.41,0
2023-02-19,Cerritos,Pandesal,Dry Goods,2,14.57,1.46,29.14,0
2023-10-16,Las Vegas,Dried Fish,Dry Goods,4,3.15,0.32,12.6,0
2023-07-17,Las Vegas,Frozen Lumpia,Frozen Goods,3,2.28,0.23,6.84,0
2023-03-12,Cerritos,Pandesal,Dry Goods,6,2.22,0.0,13.32,0
2023-01-16,San Diego,Bagoong,Condiments,3,4.08,0.0,12.24,0
2023-01-25,San Diego,Polvoron,Snacks,5,10.49,0.0,52.45,0
2023-03-22,San Diego,Ube Ice Cream,Frozen Goods,10,3.22,0.32,32.2,0
2023-09-20,San Diego,Soy Sauce,Condiments,0,12.56,0.0,0.0,0
